RefOGs	num_species	num_genes	min_length	max_length	mean_length	median_length	Orthogroups
RefOG055	10	29	85	589	194	182	Gallus_gallus.ENSGALP00000026830, Tetraodon_nigroviridis.ENSTNIP00000002688, Homo_sapiens.ENSP00000284486, Pan_troglodytes.ENSPTRP00000000839, Danio_rerio.ENSDARP00000088226, Canis_familiaris.ENSCAFP00000051664, Monodelphis_domestica.ENSMODP00000021797, Homo_sapiens.ENSP00000495051, Mus_musculus.ENSMUSP00000050531, Ciona_intestinalis.ENSCINP00000031842, Danio_rerio.ENSDARP00000155276, Danio_rerio.ENSDARP00000141876, Mus_musculus.ENSMUSP00000113962, Homo_sapiens.ENSP00000496084, Monodelphis_domestica.ENSMODP00000014981, Gallus_gallus.ENSGALP00000005221, Pan_troglodytes.ENSPTRP00000072468, Gallus_gallus.ENSGALP00000070158, Tetraodon_nigroviridis.ENSTNIP00000020024, Homo_sapiens.ENSP00000362684, Danio_rerio.ENSDARP00000144004, Danio_rerio.ENSDARP00000155722, Canis_familiaris.ENSCAFP00000015672, Danio_rerio.ENSDARP00000157436, Rattus_norvegicus.ENSRNOP00000015055, Ciona_intestinalis.ENSCINP00000007466, Rattus_norvegicus.ENSRNOP00000065808, Ciona_intestinalis.ENSCINP00000012544, Canis_familiaris.ENSCAFP00000011791
RefOG006	12	48	120	2311	1869	1979	Homo_sapiens.ENSP00000379616, Homo_sapiens.ENSP00000493594, Monodelphis_domestica.ENSMODP00000001289, Pan_troglodytes.ENSPTRP00000078901, Danio_rerio.ENSDARP00000134054, Danio_rerio.ENSDARP00000124366, Tetraodon_nigroviridis.ENSTNIP00000010900, Tetraodon_nigroviridis.ENSTNIP00000017126, Danio_rerio.ENSDARP00000155954, Mus_musculus.ENSMUSP00000156021, Pan_troglodytes.ENSPTRP00000069176, Gallus_gallus.ENSGALP00000053892, Tetraodon_nigroviridis.ENSTNIP00000001018, Canis_familiaris.ENSCAFP00000057173, Rattus_norvegicus.ENSRNOP00000035440, Tetraodon_nigroviridis.ENSTNIP00000007040, Gallus_gallus.ENSGALP00000046782, Caenorhabditis_elegans.WBGene00003776.1, Tetraodon_nigroviridis.ENSTNIP00000015027, Homo_sapiens.ENSP00000216181, Canis_familiaris.ENSCAFP00000061753, Tetraodon_nigroviridis.ENSTNIP00000004844, Rattus_norvegicus.ENSRNOP00000007398, Homo_sapiens.ENSP00000353590, Tetraodon_nigroviridis.ENSTNIP00000006335, Homo_sapiens.ENSP00000478109, Danio_rerio.ENSDARP00000114445, Monodelphis_domestica.ENSMODP00000010173, Gallus_gallus.ENSGALP00000043966, Rattus_norvegicus.ENSRNOP00000073929, Mus_musculus.ENSMUSP00000016771, Tetraodon_nigroviridis.ENSTNIP00000006941, Caenorhabditis_elegans.WBGene00003777.1, Mus_musculus.ENSMUSP00000147115, Canis_familiaris.ENSCAFP00000046753, Monodelphis_domestica.ENSMODP00000051065, Rattus_norvegicus.ENSRNOP00000062744, Canis_familiaris.ENSCAFP00000060526, Mus_musculus.ENSMUSP00000090661, Danio_rerio.ENSDARP00000041141, Pan_troglodytes.ENSPTRP00000064140, Danio_rerio.ENSDARP00000125918, Rattus_norvegicus.ENSRNOP00000072636, Pan_troglodytes.ENSPTRP00000065124, Drosophila_melanogaster.FBpp0072306, Ciona_intestinalis.ENSCINP00000035221, Danio_rerio.ENSDARP00000086805, Tetraodon_nigroviridis.ENSTNIP00000023109
RefOG031	12	32	208	932	709	702	Pan_troglodytes.ENSPTRP00000020457, Homo_sapiens.ENSP00000294954, Mus_musculus.ENSMUSP00000040477, Canis_familiaris.ENSCAFP00000003939, Mus_musculus.ENSMUSP00000021346, Tetraodon_nigroviridis.ENSTNIP00000012582, Mus_musculus.ENSMUSP00000024916, Drosophila_melanogaster.FBpp0082934, Homo_sapiens.ENSP00000473498, Canis_familiaris.ENSCAFP00000057668, Ciona_intestinalis.ENSCINP00000030027, Rattus_norvegicus.ENSRNOP00000005671, Caenorhabditis_elegans.WBGene00008239.1, Homo_sapiens.ENSP00000441235, Tetraodon_nigroviridis.ENSTNIP00000019702, Homo_sapiens.ENSP00000384708, Pan_troglodytes.ENSPTRP00000020451, Rattus_norvegicus.ENSRNOP00000022481, Monodelphis_domestica.ENSMODP00000050592, Danio_rerio.ENSDARP00000054085, Tetraodon_nigroviridis.ENSTNIP00000006194, Danio_rerio.ENSDARP00000088230, Gallus_gallus.ENSGALP00000014790, Gallus_gallus.ENSGALP00000017185, Pan_troglodytes.ENSPTRP00000091100, Monodelphis_domestica.ENSMODP00000001486, Rattus_norvegicus.ENSRNOP00000022802, Monodelphis_domestica.ENSMODP00000001525, Gallus_gallus.ENSGALP00000014797, Danio_rerio.ENSDARP00000152025, Canis_familiaris.ENSCAFP00000025490, Danio_rerio.ENSDARP00000096529
RefOG015	5	30	1241	1912	1501	1507	Caenorhabditis_elegans.WBGene00006928.1, Caenorhabditis_elegans.WBGene00006925.1, Danio_rerio.ENSDARP00000146007, Danio_rerio.ENSDARP00000102472, Caenorhabditis_elegans.WBGene00006926.1, Danio_rerio.ENSDARP00000115012, Danio_rerio.ENSDARP00000061164, Tetraodon_nigroviridis.ENSTNIP00000003865, Caenorhabditis_elegans.WBGene00006929.1, Caenorhabditis_elegans.WBGene00006930.1, Danio_rerio.ENSDARP00000153660, Caenorhabditis_elegans.WBGene00006927.1, Danio_rerio.ENSDARP00000148974, Danio_rerio.ENSDARP00000150799, Danio_rerio.ENSDARP00000072687, Danio_rerio.ENSDARP00000146600, Danio_rerio.ENSDARP00000155970, Tetraodon_nigroviridis.ENSTNIP00000000093, Gallus_gallus.ENSGALP00000044130, Gallus_gallus.ENSGALP00000068631, Danio_rerio.ENSDARP00000146270, Danio_rerio.ENSDARP00000113988, Danio_rerio.ENSDARP00000147062, Danio_rerio.ENSDARP00000148221, Danio_rerio.ENSDARP00000094194, Danio_rerio.ENSDARP00000050237, Drosophila_melanogaster.FBpp0082643, Danio_rerio.ENSDARP00000156030, Danio_rerio.ENSDARP00000072678, Gallus_gallus.ENSGALP00000002888
RefOG033	9	30	372	788	510	512	Pan_troglodytes.ENSPTRP00000021276, Danio_rerio.ENSDARP00000118414, Rattus_norvegicus.ENSRNOP00000072491, Canis_familiaris.ENSCAFP00000022013, Mus_musculus.ENSMUSP00000027356, Homo_sapiens.ENSP00000258415, Monodelphis_domestica.ENSMODP00000019193, Pan_troglodytes.ENSPTRP00000008760, Danio_rerio.ENSDARP00000071946, Tetraodon_nigroviridis.ENSTNIP00000002845, Canis_familiaris.ENSCAFP00000000406, Tetraodon_nigroviridis.ENSTNIP00000018779, Tetraodon_nigroviridis.ENSTNIP00000018717, Danio_rerio.ENSDARP00000118349, Rattus_norvegicus.ENSRNOP00000023152, Danio_rerio.ENSDARP00000099662, Rattus_norvegicus.ENSRNOP00000064023, Mus_musculus.ENSMUSP00000130005, Pan_troglodytes.ENSPTRP00000022094, Danio_rerio.ENSDARP00000045587, Monodelphis_domestica.ENSMODP00000023310, Homo_sapiens.ENSP00000499243, Monodelphis_domestica.ENSMODP00000026680, Gallus_gallus.ENSGALP00000018780, Homo_sapiens.ENSP00000228606, Danio_rerio.ENSDARP00000101333, Canis_familiaris.ENSCAFP00000006781, Danio_rerio.ENSDARP00000074330, Danio_rerio.ENSDARP00000142417, Tetraodon_nigroviridis.ENSTNIP00000021409
RefOG021	10	125	72	4061	454	102	Canis_familiaris.ENSCAFP00000046808, Gallus_gallus.ENSGALP00000033025, Danio_rerio.ENSDARP00000072444, Homo_sapiens.ENSP00000271835, Gallus_gallus.ENSGALP00000041244, Monodelphis_domestica.ENSMODP00000034118, Mus_musculus.ENSMUSP00000001051, Mus_musculus.ENSMUSP00000096510, Danio_rerio.ENSDARP00000131329, Rattus_norvegicus.ENSRNOP00000015958, Rattus_norvegicus.ENSRNOP00000015712, Mus_musculus.ENSMUSP00000102952, Homo_sapiens.ENSP00000357726, Gallus_gallus.ENSGALP00000041652, Tetraodon_nigroviridis.ENSTNIP00000020701, Gallus_gallus.ENSGALP00000041430, Rattus_norvegicus.ENSRNOP00000025249, Canis_familiaris.ENSCAFP00000040984, Danio_rerio.ENSDARP00000115567, Canis_familiaris.ENSCAFP00000019123, Tetraodon_nigroviridis.ENSTNIP00000006034, Pan_troglodytes.ENSPTRP00000002282, Danio_rerio.ENSDARP00000074756, Tetraodon_nigroviridis.ENSTNIP00000023017, Monodelphis_domestica.ENSMODP00000038524, Pan_troglodytes.ENSPTRP00000002223, Canis_familiaris.ENSCAFP00000055426, Drosophila_melanogaster.FBpp0309618, Monodelphis_domestica.ENSMODP00000024649, Homo_sapiens.ENSP00000357721, Tetraodon_nigroviridis.ENSTNIP00000016476, Monodelphis_domestica.ENSMODP00000057190, Homo_sapiens.ENSP00000426768, Pan_troglodytes.ENSPTRP00000002273, Danio_rerio.ENSDARP00000124401, Gallus_gallus.ENSGALP00000052989, Rattus_norvegicus.ENSRNOP00000016499, Pan_troglodytes.ENSPTRP00000092937, Monodelphis_domestica.ENSMODP00000023607, Gallus_gallus.ENSGALP00000024131, Canis_familiaris.ENSCAFP00000025859, Tetraodon_nigroviridis.ENSTNIP00000021492, Danio_rerio.ENSDARP00000123790, Homo_sapiens.ENSP00000357727, Mus_musculus.ENSMUSP00000070842, Pan_troglodytes.ENSPTRP00000087944, Rattus_norvegicus.ENSRNOP00000001743, Monodelphis_domestica.ENSMODP00000003527, Gallus_gallus.ENSGALP00000027831, Mus_musculus.ENSMUSP00000091288, Canis_familiaris.ENSCAFP00000018025, Monodelphis_domestica.ENSMODP00000021678, Pan_troglodytes.ENSPTRP00000027366, Mus_musculus.ENSMUSP00000001046, Mus_musculus.ENSMUSP00000022186, Rattus_norvegicus.ENSRNOP00000067058, Monodelphis_domestica.ENSMODP00000021721, Monodelphis_domestica.ENSMODP00000023841, Pan_troglodytes.ENSPTRP00000075839, Rattus_norvegicus.ENSRNOP00000041760, Pan_troglodytes.ENSPTRP00000092800, Canis_familiaris.ENSCAFP00000021149, Rattus_norvegicus.ENSRNOP00000074485, Monodelphis_domestica.ENSMODP00000023726, Pan_troglodytes.ENSPTRP00000080971, Pan_troglodytes.ENSPTRP00000048303, Gallus_gallus.ENSGALP00000022671, Pan_troglodytes.ENSPTRP00000072607, Canis_familiaris.ENSCAFP00000025867, Canis_familiaris.ENSCAFP00000042882, Monodelphis_domestica.ENSMODP00000023838, Gallus_gallus.ENSGALP00000043597, Mus_musculus.ENSMUSP00000029515, Danio_rerio.ENSDARP00000121650, Tetraodon_nigroviridis.ENSTNIP00000009888, Homo_sapiens.ENSP00000357687, Monodelphis_domestica.ENSMODP00000021730, Mus_musculus.ENSMUSP00000047968, Mus_musculus.ENSMUSP00000069525, Homo_sapiens.ENSP00000296370, Homo_sapiens.ENSP00000271638, Tetraodon_nigroviridis.ENSTNIP00000020700, Mus_musculus.ENSMUSP00000102921, Rattus_norvegicus.ENSRNOP00000015351, Rattus_norvegicus.ENSRNOP00000017000, Canis_familiaris.ENSCAFP00000019025, Canis_familiaris.ENSCAFP00000019157, Monodelphis_domestica.ENSMODP00000043447, Tetraodon_nigroviridis.ENSTNIP00000021491, Pan_troglodytes.ENSPTRP00000002268, Pan_troglodytes.ENSPTRP00000002278, Homo_sapiens.ENSP00000373370, Rattus_norvegicus.ENSRNOP00000024202, Danio_rerio.ENSDARP00000056560, Pan_troglodytes.ENSPTRP00000002272, Rattus_norvegicus.ENSRNOP00000013393, Homo_sapiens.ENSP00000317895, Mus_musculus.ENSMUSP00000058237, Canis_familiaris.ENSCAFP00000038503, Tetraodon_nigroviridis.ENSTNIP00000020706, Rattus_norvegicus.ENSRNOP00000011762, Rattus_norvegicus.ENSRNOP00000072004, Mus_musculus.ENSMUSP00000096482, Mus_musculus.ENSMUSP00000044998, Mus_musculus.ENSMUSP00000029516, Homo_sapiens.ENSP00000357789, Pan_troglodytes.ENSPTRP00000002271, Danio_rerio.ENSDARP00000156462, Gallus_gallus.ENSGALP00000043598, Gallus_gallus.ENSGALP00000047847, Homo_sapiens.ENSP00000357704, Homo_sapiens.ENSP00000357707, Mus_musculus.ENSMUSP00000142003, Danio_rerio.ENSDARP00000120686, Pan_troglodytes.ENSPTRP00000002232, Pan_troglodytes.ENSPTRP00000002279, Rattus_norvegicus.ENSRNOP00000001672, Pan_troglodytes.ENSPTRP00000051765, Homo_sapiens.ENSP00000473589, Pan_troglodytes.ENSPTRP00000087426, Pan_troglodytes.ENSPTRP00000002233, Danio_rerio.ENSDARP00000020595, Pan_troglodytes.ENSPTRP00000093848, Rattus_norvegicus.ENSRNOP00000015612, Homo_sapiens.ENSP00000357791
RefOG058	9	50	89	1337	424	408	Rattus_norvegicus.ENSRNOP00000002443, Monodelphis_domestica.ENSMODP00000022511, Rattus_norvegicus.ENSRNOP00000052331, Mus_musculus.ENSMUSP00000025706, Gallus_gallus.ENSGALP00000049756, Mus_musculus.ENSMUSP00000054938, Pan_troglodytes.ENSPTRP00000066030, Canis_familiaris.ENSCAFP00000023091, Danio_rerio.ENSDARP00000074016, Pan_troglodytes.ENSPTRP00000034377, Danio_rerio.ENSDARP00000012354, Homo_sapiens.ENSP00000310263, Tetraodon_nigroviridis.ENSTNIP00000010862, Rattus_norvegicus.ENSRNOP00000071012, Pan_troglodytes.ENSPTRP00000089305, Monodelphis_domestica.ENSMODP00000011508, Mus_musculus.ENSMUSP00000116742, Mus_musculus.ENSMUSP00000119790, Rattus_norvegicus.ENSRNOP00000042371, Tetraodon_nigroviridis.ENSTNIP00000019530, Homo_sapiens.ENSP00000367013, Tetraodon_nigroviridis.ENSTNIP00000001175, Homo_sapiens.ENSP00000498466, Pan_troglodytes.ENSPTRP00000072563, Tetraodon_nigroviridis.ENSTNIP00000002572, Danio_rerio.ENSDARP00000110027, Danio_rerio.ENSDARP00000107373, Gallus_gallus.ENSGALP00000043230, Canis_familiaris.ENSCAFP00000053085, Canis_familiaris.ENSCAFP00000055029, Mus_musculus.ENSMUSP00000022663, Homo_sapiens.ENSP00000162749, Rattus_norvegicus.ENSRNOP00000071406, Gallus_gallus.ENSGALP00000010331, Gallus_gallus.ENSGALP00000071222, Pan_troglodytes.ENSPTRP00000068497, Rattus_norvegicus.ENSRNOP00000025928, Gallus_gallus.ENSGALP00000039128, Mus_musculus.ENSMUSP00000075018, Homo_sapiens.ENSP00000349324, Canis_familiaris.ENSCAFP00000062480, Tetraodon_nigroviridis.ENSTNIP00000001044, Homo_sapiens.ENSP00000276431, Danio_rerio.ENSDARP00000143967, Mus_musculus.ENSMUSP00000032491, Homo_sapiens.ENSP00000221132, Mus_musculus.ENSMUSP00000025691, Gallus_gallus.ENSGALP00000071352, Pan_troglodytes.ENSPTRP00000088261, Pan_troglodytes.ENSPTRP00000034376
RefOG001	12	15	272	579	345	322	Caenorhabditis_elegans.WBGene00003806.1, Danio_rerio.ENSDARP00000071531, Rattus_norvegicus.ENSRNOP00000014377, Mus_musculus.ENSMUSP00000032440, Ciona_intestinalis.ENSCINP00000005198, Drosophila_melanogaster.FBpp0311988, Homo_sapiens.ENSP00000373312, Monodelphis_domestica.ENSMODP00000006811, Danio_rerio.ENSDARP00000147265, Canis_familiaris.ENSCAFP00000053904, Pan_troglodytes.ENSPTRP00000071151, Rattus_norvegicus.ENSRNOP00000007474, Tetraodon_nigroviridis.ENSTNIP00000005325, Danio_rerio.ENSDARP00000154605, Gallus_gallus.ENSGALP00000060372
RefOG036	12	46	87	456	399	411	Homo_sapiens.ENSP00000376352, Rattus_norvegicus.ENSRNOP00000012759, Tetraodon_nigroviridis.ENSTNIP00000020088, Gallus_gallus.ENSGALP00000015774, Monodelphis_domestica.ENSMODP00000011372, Monodelphis_domestica.ENSMODP00000058442, Monodelphis_domestica.ENSMODP00000039449, Danio_rerio.ENSDARP00000153715, Gallus_gallus.ENSGALP00000026284, Drosophila_melanogaster.FBpp0111805, Danio_rerio.ENSDARP00000138167, Homo_sapiens.ENSP00000005178, Monodelphis_domestica.ENSMODP00000015067, Danio_rerio.ENSDARP00000012861, Rattus_norvegicus.ENSRNOP00000068033, Tetraodon_nigroviridis.ENSTNIP00000020062, Canis_familiaris.ENSCAFP00000041833, Monodelphis_domestica.ENSMODP00000009219, Mus_musculus.ENSMUSP00000041447, Danio_rerio.ENSDARP00000150746, Homo_sapiens.ENSP00000498864, Caenorhabditis_elegans.WBGene00022719.1, Pan_troglodytes.ENSPTRP00000033224, Gallus_gallus.ENSGALP00000060241, Canis_familiaris.ENSCAFP00000024969, Pan_troglodytes.ENSPTRP00000065011, Rattus_norvegicus.ENSRNOP00000002072, Mus_musculus.ENSMUSP00000006669, Gallus_gallus.ENSGALP00000021580, Tetraodon_nigroviridis.ENSTNIP00000004633, Canis_familiaris.ENSCAFP00000019265, Danio_rerio.ENSDARP00000071589, Homo_sapiens.ENSP00000420927, Mus_musculus.ENSMUSP00000036604, Mus_musculus.ENSMUSP00000019721, Danio_rerio.ENSDARP00000042188, Pan_troglodytes.ENSPTRP00000015943, Pan_troglodytes.ENSPTRP00000037297, Tetraodon_nigroviridis.ENSTNIP00000010986, Ciona_intestinalis.ENSCINP00000003914, Rattus_norvegicus.ENSRNOP00000005641, Tetraodon_nigroviridis.ENSTNIP00000006761, Canis_familiaris.ENSCAFP00000003118, Canis_familiaris.ENSCAFP00000019855, Monodelphis_domestica.ENSMODP00000011266, Danio_rerio.ENSDARP00000022009
RefOG065	10	10	566	2566	2191	2540	Mus_musculus.ENSMUSP00000021547, Monodelphis_domestica.ENSMODP00000056797, Homo_sapiens.ENSP00000251119, Tetraodon_nigroviridis.ENSTNIP00000021844, Pan_troglodytes.ENSPTRP00000010969, Rattus_norvegicus.ENSRNOP00000074087, Gallus_gallus.ENSGALP00000041587, Canis_familiaris.ENSCAFP00000052108, Danio_rerio.ENSDARP00000115049, Drosophila_melanogaster.FBpp0112209
RefOG051	12	17	66	242	179	180	Tetraodon_nigroviridis.ENSTNIP00000007995, Tetraodon_nigroviridis.ENSTNIP00000006541, Ciona_intestinalis.ENSCINP00000035369, Drosophila_melanogaster.FBpp0088438, Homo_sapiens.ENSP00000367615, Danio_rerio.ENSDARP00000124165, Monodelphis_domestica.ENSMODP00000004972, Caenorhabditis_elegans.WBGene00020557.1, Gallus_gallus.ENSGALP00000042557, Gallus_gallus.ENSGALP00000044023, Pan_troglodytes.ENSPTRP00000014433, Rattus_norvegicus.ENSRNOP00000061449, Mus_musculus.ENSMUSP00000006764, Danio_rerio.ENSDARP00000129362, Tetraodon_nigroviridis.ENSTNIP00000019325, Canis_familiaris.ENSCAFP00000029425, Danio_rerio.ENSDARP00000152758
RefOG024	12	51	201	1013	474	466	Danio_rerio.ENSDARP00000005298, Rattus_norvegicus.ENSRNOP00000070204, Pan_troglodytes.ENSPTRP00000063859, Danio_rerio.ENSDARP00000134903, Gallus_gallus.ENSGALP00000069949, Homo_sapiens.ENSP00000255409, Mus_musculus.ENSMUSP00000078134, Tetraodon_nigroviridis.ENSTNIP00000001773, Monodelphis_domestica.ENSMODP00000040149, Monodelphis_domestica.ENSMODP00000001804, Pan_troglodytes.ENSPTRP00000003133, Monodelphis_domestica.ENSMODP00000043631, Mus_musculus.ENSMUSP00000000573, Pan_troglodytes.ENSPTRP00000081197, Rattus_norvegicus.ENSRNOP00000073705, Mus_musculus.ENSMUSP00000142477, Mus_musculus.ENSMUSP00000053923, Canis_familiaris.ENSCAFP00000020233, Gallus_gallus.ENSGALP00000066799, Danio_rerio.ENSDARP00000102083, Rattus_norvegicus.ENSRNOP00000052819, Caenorhabditis_elegans.WBGene00000503.1, Monodelphis_domestica.ENSMODP00000001616, Ciona_intestinalis.ENSCINP00000028628, Rattus_norvegicus.ENSRNOP00000052813, Danio_rerio.ENSDARP00000135566, Homo_sapiens.ENSP00000358755, Danio_rerio.ENSDARP00000138333, Monodelphis_domestica.ENSMODP00000001739, Pan_troglodytes.ENSPTRP00000001896, Homo_sapiens.ENSP00000358747, Rattus_norvegicus.ENSRNOP00000074871, Mus_musculus.ENSMUSP00000080851, Monodelphis_domestica.ENSMODP00000001267, Danio_rerio.ENSDARP00000148464, Canis_familiaris.ENSCAFP00000058655, Monodelphis_domestica.ENSMODP00000035744, Pan_troglodytes.ENSPTRP00000041993, Mus_musculus.ENSMUSP00000029510, Drosophila_melanogaster.FBpp0072985, Mus_musculus.ENSMUSP00000080717, Mus_musculus.ENSMUSP00000123979, Homo_sapiens.ENSP00000356198, Tetraodon_nigroviridis.ENSTNIP00000003161, Danio_rerio.ENSDARP00000095389, Monodelphis_domestica.ENSMODP00000047764, Pan_troglodytes.ENSPTRP00000088271, Tetraodon_nigroviridis.ENSTNIP00000000910, Homo_sapiens.ENSP00000437082, Gallus_gallus.ENSGALP00000058001, Canis_familiaris.ENSCAFP00000032028
RefOG037	11	34	21	1060	841	950	Tetraodon_nigroviridis.ENSTNIP00000018477, Ciona_intestinalis.ENSCINP00000017560, Monodelphis_domestica.ENSMODP00000024590, Tetraodon_nigroviridis.ENSTNIP00000017286, Gallus_gallus.ENSGALP00000023854, Monodelphis_domestica.ENSMODP00000058400, Canis_familiaris.ENSCAFP00000025076, Pan_troglodytes.ENSPTRP00000057441, Danio_rerio.ENSDARP00000057304, Rattus_norvegicus.ENSRNOP00000071047, Danio_rerio.ENSDARP00000132464, Mus_musculus.ENSMUSP00000029682, Danio_rerio.ENSDARP00000093348, Ciona_intestinalis.ENSCINP00000005599, Mus_musculus.ENSMUSP00000022213, Rattus_norvegicus.ENSRNOP00000067037, Tetraodon_nigroviridis.ENSTNIP00000023097, Pan_troglodytes.ENSPTRP00000002388, Homo_sapiens.ENSP00000357362, Tetraodon_nigroviridis.ENSTNIP00000012955, Gallus_gallus.ENSGALP00000005183, Homo_sapiens.ENSP00000222271, Homo_sapiens.ENSP00000339730, Rattus_norvegicus.ENSRNOP00000074259, Canis_familiaris.ENSCAFP00000055935, Danio_rerio.ENSDARP00000129945, Pan_troglodytes.ENSPTRP00000029161, Tetraodon_nigroviridis.ENSTNIP00000003343, Danio_rerio.ENSDARP00000142363, Monodelphis_domestica.ENSMODP00000004469, Drosophila_melanogaster.FBpp0112980, Tetraodon_nigroviridis.ENSTNIP00000000263, Mus_musculus.ENSMUSP00000003659, Canis_familiaris.ENSCAFP00000053810
RefOG050	12	14	88	477	423	466	Rattus_norvegicus.ENSRNOP00000009462, Drosophila_melanogaster.FBpp0071759, Caenorhabditis_elegans.WBGene00012608.1, Ciona_intestinalis.ENSCINP00000009349, Danio_rerio.ENSDARP00000070033, Tetraodon_nigroviridis.ENSTNIP00000007573, Gallus_gallus.ENSGALP00000054565, Homo_sapiens.ENSP00000428055, Pan_troglodytes.ENSPTRP00000068416, Monodelphis_domestica.ENSMODP00000009967, Canis_familiaris.ENSCAFP00000010872, Homo_sapiens.ENSP00000379865, Homo_sapiens.ENSP00000497007, Mus_musculus.ENSMUSP00000116627
RefOG022	12	35	96	712	439	444	Gallus_gallus.ENSGALP00000068882, Danio_rerio.ENSDARP00000156542, Pan_troglodytes.ENSPTRP00000064658, Tetraodon_nigroviridis.ENSTNIP00000006319, Gallus_gallus.ENSGALP00000030109, Rattus_norvegicus.ENSRNOP00000026187, Danio_rerio.ENSDARP00000120165, Danio_rerio.ENSDARP00000076594, Monodelphis_domestica.ENSMODP00000010015, Ciona_intestinalis.ENSCINP00000027906, Tetraodon_nigroviridis.ENSTNIP00000022954, Pan_troglodytes.ENSPTRP00000086593, Danio_rerio.ENSDARP00000002330, Mus_musculus.ENSMUSP00000100041, Tetraodon_nigroviridis.ENSTNIP00000014051, Mus_musculus.ENSMUSP00000033502, Rattus_norvegicus.ENSRNOP00000067336, Rattus_norvegicus.ENSRNOP00000038111, Canis_familiaris.ENSCAFP00000007467, Tetraodon_nigroviridis.ENSTNIP00000017630, Homo_sapiens.ENSP00000365858, Monodelphis_domestica.ENSMODP00000012647, Tetraodon_nigroviridis.ENSTNIP00000010123, Pan_troglodytes.ENSPTRP00000054198, Caenorhabditis_elegans.WBGene00001249.1, Canis_familiaris.ENSCAFP00000022898, Canis_familiaris.ENSCAFP00000006152, Mus_musculus.ENSMUSP00000128198, Drosophila_melanogaster.FBpp0303221, Rattus_norvegicus.ENSRNOP00000017240, Danio_rerio.ENSDARP00000017572, Homo_sapiens.ENSP00000368632, Homo_sapiens.ENSP00000345681, Danio_rerio.ENSDARP00000076855, Monodelphis_domestica.ENSMODP00000020895
RefOG013	2	27	471	947	676	636	Drosophila_melanogaster.FBpp0301563, Drosophila_melanogaster.FBpp0307913, Drosophila_melanogaster.FBpp0288951, Drosophila_melanogaster.FBpp0072181, Drosophila_melanogaster.FBpp0304756, Drosophila_melanogaster.FBpp0307914, Drosophila_melanogaster.FBpp0307916, Caenorhabditis_elegans.WBGene00001618.1, Drosophila_melanogaster.FBpp0074638, Drosophila_melanogaster.FBpp0288950, Drosophila_melanogaster.FBpp0307899, Drosophila_melanogaster.FBpp0307900, Drosophila_melanogaster.FBpp0087171, Drosophila_melanogaster.FBpp0075915, Drosophila_melanogaster.FBpp0081400, Drosophila_melanogaster.FBpp0307907, Drosophila_melanogaster.FBpp0290822, Drosophila_melanogaster.FBpp0071032, Drosophila_melanogaster.FBpp0071268, Caenorhabditis_elegans.WBGene00001619.1, Caenorhabditis_elegans.WBGene00020804.1, Drosophila_melanogaster.FBpp0288952, Drosophila_melanogaster.FBpp0085662, Drosophila_melanogaster.FBpp0071044, Drosophila_melanogaster.FBpp0288956, Drosophila_melanogaster.FBpp0111921, Drosophila_melanogaster.FBpp0099386
RefOG014	11	44	48	5646	1313	796	Gallus_gallus.ENSGALP00000073167, Pan_troglodytes.ENSPTRP00000001775, Homo_sapiens.ENSP00000358380, Tetraodon_nigroviridis.ENSTNIP00000002473, Pan_troglodytes.ENSPTRP00000091776, Gallus_gallus.ENSGALP00000065840, Homo_sapiens.ENSP00000316782, Homo_sapiens.ENSP00000480818, Pan_troglodytes.ENSPTRP00000076194, Pan_troglodytes.ENSPTRP00000056359, Rattus_norvegicus.ENSRNOP00000072921, Homo_sapiens.ENSP00000477979, Danio_rerio.ENSDARP00000118732, Pan_troglodytes.ENSPTRP00000073455, Pan_troglodytes.ENSPTRP00000058531, Homo_sapiens.ENSP00000474456, Canis_familiaris.ENSCAFP00000037424, Pan_troglodytes.ENSPTRP00000092968, Homo_sapiens.ENSP00000463957, Homo_sapiens.ENSP00000462316, Mus_musculus.ENSMUSP00000088254, Homo_sapiens.ENSP00000479693, Gallus_gallus.ENSGALP00000055818, Monodelphis_domestica.ENSMODP00000042543, Gallus_gallus.ENSGALP00000072279, Homo_sapiens.ENSP00000478752, Tetraodon_nigroviridis.ENSTNIP00000017251, Homo_sapiens.ENSP00000478609, Homo_sapiens.ENSP00000481835, Pan_troglodytes.ENSPTRP00000092836, Homo_sapiens.ENSP00000359057, Canis_familiaris.ENSCAFP00000038345, Homo_sapiens.ENSP00000481542, Canis_familiaris.ENSCAFP00000015918, Pan_troglodytes.ENSPTRP00000040053, Monodelphis_domestica.ENSMODP00000042752, Homo_sapiens.ENSP00000479545, Ciona_intestinalis.ENSCINP00000022631, Pan_troglodytes.ENSPTRP00000074147, Drosophila_melanogaster.FBpp0301625, Tetraodon_nigroviridis.ENSTNIP00000018365, Monodelphis_domestica.ENSMODP00000028971, Homo_sapiens.ENSP00000477509, Homo_sapiens.ENSP00000498781
